,phrase,target
221, said dealers ,positive
222, 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 ,positive
223,Turnover rose to EUR21m from EUR17m ,positive
224, respectively ,positive
225,Its market share widened to 48.51 percent from 48.31 percent a year earlier ,positive
226,Finnish OKO bank has signed a cooperation agreement with Raiffeisen concerning Finnish companies ' investments in Russia ,positive
227, compared to EUR 15.6 mn a year earlier ,positive
228, compared with 240.4 mln eur a year earlier ,positive
229,The value of the firm 's forestry holdings increased by SEK 3.6 bn ,positive
230,Cargo volume increased by approximately 5 % ,positive
231,Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier ,positive
232,Operating profit of the Asian plants grew markedly ,positive
233,`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies ,positive
234, as compared to the corresponding period a year ago ,positive
235,The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 ,positive
236,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros ,positive
237, compared to a negative EUR 68.6 mn in the second quarter of 2008 ,positive
238, of the sales came from the acquisitions made in 2009 ,positive
239,Sports equipment sales also progressed well owing to the prolonged winter season ,positive
240, and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 ,positive
241,Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 ,positive
242, the company currently anticipates net sales to increase and the operating result to be positive ,positive
243,Cargotec Germany GmbH has been awarded a contract by Stadtverwaltung Mainz for chassis bodies under Open procedure ,positive
244,`` I am extremely delighted with this project and the continuation of cooperation with Viking Line ,positive
245, 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy ,positive
246, up from EUR 0.87 ,positive
247,070.6 mn ,positive
248, up from EUR 23.0 mn ,positive
249,000 for the same period of 2009 ,positive
250, and the operating margin rose to 12.2 % ,positive
251, 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the ,positive
252,Sales of security and system packaging increased slightly ,positive
253, saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts ,positive
254,Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India ,positive
255,The EPS improved to EUR0 .38 from EUR0 .27 ,positive
256, the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 ,positive
257, as compared to the financial year 2004 ,positive
258,Commission income rose by 25.7 % to EUR 16.1 mn from EUR 12.8 mn in 2004 ,positive
259, up from EUR 730mn in 2004 ,positive
260, as compared to the corresponding period in 2005 ,positive
261,Operating profit rose to EUR 3.2 mn from EUR 1.0 mn in the corresponding period in 2008 ,positive
262, director Paul Skogberg said ,positive
263, Raute expects its net sales to increase and the operating result -- to be positive ,positive
264, and that it increased average paper prices by 4 percent compared with last year ,positive
265, `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year ,positive
266, however ,positive
267, while demand in the Baltics remained weak ,positive
268,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site ,positive
269,It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 ,positive
270,Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn ,positive
271, an increase over EPS of EUR1 .12 in 2008 ,positive
272,The agreement strengthens our long-term partnership with Nokia Siemens Networks ,positive
273,EPS grew to 0.04 eur from 0.02 eur ,positive
274, as compared to the corresponding period in 2005 ,positive
275, up 45 % from the corresponding period in 2005 ,positive
276,000 for the same period of 2009 ,positive
277, and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 ,positive
278,The acquisition will have an immediate positive impact on Aspocomp 's financial result ,positive
279,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier ,positive
280, 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of ,positive
281, or a 25.3 pct increase year on year ,positive
282,Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives ,positive
283,`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . ',positive
284,Earnings per share EPS rose to EUR 0.11 from EUR 0.03 ,positive
285,That would be an increase from estimated sales of 117 million last year ,positive
286, from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 ,positive
287,Revenue grew 12 percent to (  x20ac ) 3.6 billion ( US$ 4.5 billion ) ,positive
288,- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million ,positive
289,000 in 2009 and it lifted its dividend proposal ,positive
290, the Finnish national carrier reported Tuesday ,positive
291,Finnish metal industry solutions supplier Outotec Oyj net profit rose to 50.4 mln euro ( $ 72.5 mln ) for the first nine months of 2007 from 20.1 mln euro ( $ 28.9 mln ) for the same period of 2006 ,positive
292, and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 ,positive
293,Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 ,positive
294,The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 ,positive
295, up from EUR 7.5 mn ,positive
296,Finnish-Swedish TietoEnator is expanding its business quickly in Russia ,positive
297, Affarsvarlden said ,positive
298, 2008 that its net profit rose to 71.2 mln euro ( $ 111.1 mln ) for the first half of 2008 from 57.1 mln euro ( $ 89.1 mln ) for the same period of 2007 ,positive
299, dealers said ,positive
300, CEO of Aspo ,positive
301, up 30.8 % from the corresponding period in 2005 ,positive
302,Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 ,positive
303, BioTie North American licensing partner Somaxon Pharmaceuticals announced positive results with nalmefene in a pilot Phase 2 clinical trial for smoking cessation ,positive
304, compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 ,positive
305,Finnish Bank of +ï¿½land reports its operating profit rose to EUR 21.3 mn in the second quarter of 2009 from EUR 6.1 mn in the corresponding period in 2008 ,positive
306,Passenger volumes rose by 8.4 % in the accounting period ,positive
307, as compared to the corresponding period in 2005 ,positive
308, up from EUR 6.0 mn in 2004 ,positive
309,Diluted EPS rose to EUR3 .68 from EUR0 .50 ,positive
310,Net sales of Finnish food industry company L+ï¿½nnen Tehtaat 's continuing operations increased by 13 % in 2008 to EUR 349.1 mn from EUR 309.6 mn in 2007 ,positive
311,Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter ,positive
312, up from EUR 32.7 mn in 2009 ,positive
313, CEO Sakari Tamminen said ,positive
314, pre-tax profit surged 45 % to EUR80m ,positive
315,Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 ,positive
316, and that of Marketplaces to EUR 1.3 mn from EUR 1.0 mn in the third quarter of 2006 ,positive
317,Our standardised services have met with a positive reception among our customers as well as at Itella ,positive
318, the company 's Board of Directors is very satisfied with Viking Line 's performance ,positive
319,Finnish KCI Konecranes has been awarded an order for four hot metal ladle cranes by Indian steel producer Bhushan Steel & Strips to be delivered in 2007 ,positive
320, has signed a framework agreement for a long term strategic relationship with ISE ,positive
321, CEO of Papa John 's Russia ,positive
322, Inc. won an order to provide software for contract lifecycle management to an unnamed U.S. medical technology company ,positive
323, as compared to the corresponding period in 2005 ,positive
324, 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow ,positive
325,It also turned in earnings per share ( EPS ) of EUR 0.44 versus loss per share of EUR 2.26 ,positive
326, up from a loss of EUR 1.7 mn in the fourth quarter of 2009 ,positive
327, compared to EUR -0.4 mn the previous year ,positive
328,Finnish construction group Lemmink+ï¿½inen has been awarded two road building contracts by the Lithuanian transport administration ,positive
329,- UPM-Kymmene upgraded to ` in-line ' from ` underperform ' by Goldman Sachs ,positive
330,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 ,positive
331,Operating profit rose to EUR 4.7 mn from EUR 4.6 mn ,positive
332, Finland based company has awarded contract for specialist agricultural or forestry machinery ,positive
333, up from EUR 138.4 mn ,positive
334,Net sales increased to EUR655m in April to June 2010 from EUR438m a year earlier ,positive
335,Exports grew 16.5 percent to 19.1 million liters ,positive
336, Finland based company has awarded contract to Lemminkainen Talotekniikka Oy for electrical installation work ,positive
337,The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % ,positive
338, and the company 's stock was up 6 percent at  x20ac 23.89 US$ 33.84 in early afternoon trading in Helsinki ,positive
339, an increase by one-tenth over the preceding year ,positive
340, the company anticipated its operating profit to improve over the same period ,positive
341, expects to derive synergies of EUR5 million a year by consolidating certain parts of the housewares division where the two compete ,positive
342,` By separating side businesses we will be able to faster expand and develop Tapro retail network ,positive
343,SKF 6 April 2010 - Alandsbanken has given a `` buy '' recommendation on Swedish industrial company SKF AB ( STO : SKF B ) with a share price target of SEK150 ,positive
344, year-on-year ,positive
345,Net sales revenue per passenger is expected to increase ,positive
346, Atria said ,positive
347, 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm ,positive
348, 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezue,positive
349, the effect of which was EUR10 .9 m in the review period ,positive
350, up from EUR 101.0 mn in 2008 ,positive
351,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement ,positive
352,The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 ,positive
353, the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker ,positive
354, from 6.1 million litas in 2004 ,positive
355, Nordic Aluminium 's order book stood at EUR 8.77 mn compared to EUR 7.04 in 2005 ,positive
356, as compared to the corresponding period a year ago ,positive
357,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier ,positive
358, said Thursday it signed a long-term manufacturing supply deal with communications equipment company Andrew Corp. ,positive
359,000 in the same period of 2005 ,positive
360, the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 ,positive
361,Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components ,positive
362, by focusing on its profitable core operations ,positive
363, says the situation looks promising from their viewpoint ,positive
364, up from EUR -0.7 mn ,positive
365,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 ,positive
366, and the overall growth of its business ,positive
